title,roku_compound,roku_sentiment
Quibi will rise from the grave as its shows will be streamed on Roku Channel,-0.3818,-1.0
"Roku says Roku OS-powered smart TVs held 38% market share in the US and 31% in Canada in 2020, according to NPD (Jason Gurwin/The Streamable)",0.5994,1.0
Roku makes it simpler to build wireless soundbars for Roku TVs,0.0,0.0
Roku Confirms Acquisition of Exclusive Global Rights to Dozens of Quibi Shows,0.128,1.0
Roku Acquires Rights to Quibi Content for Less Than $100 Million,0.0,0.0
"Roku has acquired global rights for Quibi content for, sources say, less than $100M, and will make it available free to stream in 2021 on the Roku Channel (Wall Street Journal)",0.5106,1.0
Roku will buy the rights to Quibi’s content library.,0.0,0.0
Nobody Wanted to Pay for Quibi When It Launched — Now Its Shows Are Streaming for Free on Roku,0.5267,1.0
Why Roku Stock Jumped 5% Today,0.0,0.0
Roku snaps up Quibi's collection of short shows,0.0,0.0
Roku Buys Quibi's Library to Boost Free Streaming Service,0.7184,1.0
Roku announces some very big news that could worry Amazon's Fire TV Stick - Express,-0.6486,-1.0
Roku Added Over 14 Million Accounts Last Year,0.0,0.0
"Roku Shares Soar 10.6 Percent On Upgrade, Higher User Numbers",0.296,1.0
How to watch The Stand anywhere online,0.0,0.0
How to watch Australia vs Indias: Live stream 3rd Test cricket online,0.0,0.0
My 3 Best Stocks to Buy in 2021,0.6369,1.0
Roku Stock Is Climbing Because It Won Streaming,0.5719,1.0
GOP board member falsely claims she’s Black colleague after alleged hit-and-run,0.0,0.0
Another Streaming Player Enters The Fray,0.0,0.0
"Today’s top deals: Beats blowout, Purell discounts, huge coffee essentials sale, $99 smart TVs, more",0.7003,1.0
Vevo looks to expand its TV screen footprint with new Comcast deal,0.3182,1.0
Roku Paces Past 50M Active Users; Top Analyst Sticks To Buy,0.5423,1.0
Make Your Next Binge Session More Productive With This Streaming Service,0.0,0.0
Rev. Raphael Warnock once arrested at US Capitol for praying,-0.1531,-1.0
"Best Buy - Westinghouse 42"" LED FHD TV Roku Smart TV $179.99",0.7845,1.0
"How to install Adult Time on Roku, Amazon Fire, and Chromecast",-0.1779,-1.0
Roku Stock: Potential To Hit $500?,0.0,0.0
Roku had 51.2 million active user accounts in 2020,0.4019,1.0
"Domino’s, FedEx, Lockheed, Roku and More of Tuesday Afternoon’s Analyst Calls",0.0,0.0
"Joker, Elf Among Top Roku Searches In 2020",0.3182,1.0
Roku climbs as the streaming company breaks the 50 million active account milestone (ROKU),0.4019,1.0
Adam Sandler Was Most-Searched Person Of 2020 On Roku,0.0,0.0
Roku passes 50 million active users as it races to catch Amazon - CNET,0.5267,1.0
"Roku says it now has 51.2M active user accounts, up by about 14M in 2020, and users streamed 58.7B hours in 2020 (Anthony Wood/Roku Blog)",0.4019,1.0
Roku Stock: Headed to $414?,0.0,0.0
How to watch Man United vs Man City: Live stream the Carabao Cup semi-final,0.4215,1.0
"Why Roku Dropped, Then Jumped Today",0.0,0.0
How Roku Shares Rose 13% in December,0.296,1.0
"Discovery+ Needs to Be Part of Your Streaming Life, It's That Good",0.4404,1.0
Trump denies Pence rebuffed his call to challenge election certification,-0.3612,-1.0
Consumers Are Flocking to Roku's Platform,0.0,0.0
Roku has more than 50 million active accounts and celebrates with a giveaway,0.7506,1.0
How to watch AC Milan vs Juventus: Live stream Series A football online,0.0,0.0
Maxine Waters slams Trump for security concerns over election challenge,0.4019,1.0
Roku eclipses 50 million active user account milestone,0.4019,1.0
Roku Now Has 51.2 Million Active Users,0.4019,1.0
Spectrum TV: Everything you need to know about Charter’s television options,0.0,0.0
Miya Ponsetto lawyer says she attacked Black teen due to anxiety,-0.5719,-1.0
Ivanka Trump refers to protesters storming Capitol as ‘American patriots’,-0.2263,-1.0
: How to make money in 2021 — follow these three stock market takeaways from last year,0.0,0.0
Quibi Reportedly In Talks To Sell Its Shows To Roku,0.0,0.0
Discovery+ Launches Today,0.0,0.0
Why Roku Shares Rose 5% Today,0.296,1.0
Roku's Shopping for More Roku Channel Content,0.0,0.0
"Catch up: Quibi shops its videos to Roku, and a venture to disrupt health care shuts down.",0.4939,1.0
Earnings Results: FuboTV stock surges after upbeat subscriber numbers,0.0,0.0
3 Hot Stocks to Buy in January,0.0,0.0
The Morning After: Discovery+ is the first new streaming service of 2021,0.0,0.0
Snag 6 Months Of HBO Max For Less For A Limited Time,-0.1585,-1.0
"Discovery+ standalone streaming service now live, but only in US",0.0,0.0
discovery+ starts streaming “real-life entertainment” in the U.S,0.0,0.0
Konka shows off WebOS-based smart TVs ahead of CES 2021,0.4019,1.0
Discovery+ streaming service launches in the US on Roku and Fire TV,-0.34,-1.0
Roku Gin 700ml $48.90 @ Amazon + Delivery (Free with Prime),0.1779,1.0
"FuboTV Stock Bounces Back On Preliminary Q4 Subscriber Gains, Revenue Beat",0.34,1.0
[eBay Plus] Roku Japanese Gin 700ml $48.90 Shipped @ Dan Murphy’s eBay,0.0,0.0
New York Exchange Halts Plan to Delist Chinese Firms: Live Business Updates,0.0,0.0
Here's the Popular Robinhood Stock Most Likely to Soar in 2021,0.4215,1.0
"Roku, Bank of America, Coca-Cola, Canadian Solar, and More of Tuesday Afternoon’s Analyst Calls",0.0,0.0
Locked Down Trailer: Quarantine Won’t Stop Anne Hathaway From Stealing a Diamond,-0.5423,-1.0
Quibi's content library could make its way to Roku,0.0,0.0
"Discovery+ launches today, and it's available on Fire TV, Roku and more",-0.34,-1.0
Roku Reportedly Looking to Buy Quibi's Rotting Corpse,-0.5719,-1.0
The Morning After: Samsung's Galaxy S21 will be revealed on January 14th,0.0,0.0
Is Discovery+ Worth It?,0.2263,1.0
Quibi in talks to sell content catalog to Roku - WSJ - Reuters India,0.0,0.0
"Discovery+ streaming service to launch on Roku, Amazon Fire TV and others - Reuters India",-0.1779,-1.0
Quibi in talks to sell content catalog to Roku - WSJ - Reuters,0.0,0.0
Quibi shows set to be sold off to Roku after company collapse,-0.4939,-1.0
How to Claim Your Free Year of Discovery+ Through Verizon,0.5106,1.0
Quibi might have finally found a buyer for its shows,0.0,0.0
"Some Quibi content may live on, despite the failure of the platform",0.4023,1.0
Quibi is selling content to Roku,0.0,0.0
Roku In Talks To Buy Shows From Failed Streaming Service Quibi,-0.5106,-1.0
"Roku might pick up all of that abandoned Quibi content, raise it as its own",-0.4588,-1.0
Why Roku Stock Fell Today,0.0,0.0
Roku Looking to Snag Quibi’s Library of Bite-Sized TV Shows and Movies,0.0,0.0
Roku Set to Acquire Quibi's Program Library,0.0,0.0
Roku Is in Talks to Buy Rights to Quibi’s Shows — Report,0.0,0.0
Roku And Amazon Confirmed Among Discovery+ Streaming Partners,0.1779,1.0
Best 32-inch TV for 2021 - CNET,0.6369,1.0
Texas congressman backpedals after implying election-related violence is needed,-0.6249,-1.0
Pittsburgh Steelers vs. Cleveland Browns: How to watch week 17 of NFL play,0.34,1.0
How to Watch Falcons vs Buccaneers live stream online from anywhere,0.0,0.0
"Got $5,000? Here Are 3 Stocks to Buy and Hold For the Long Term",0.0,0.0
Cincinnati Bengals vs. Baltimore Ravens: How to watch week 17 of NFL play f,0.34,1.0
How to watch Jets vs Patriots live stream online anywhere,0.0,0.0
Miami Dolphins vs. Buffalo Bills: How to watch week 17 of NFL play from any,0.34,1.0
Dallas Cowboys vs. New York Giants: How to watch week 17 of NFL play from a,0.34,1.0
How to watch Vikings vs Lions live stream from anywhere,0.0,0.0
'Wonder Woman 1984' Faces a Box Office Dip & HBO Max Glitches,0.0,0.0
"‘Wonder Woman 1984’ Grosses $5.5M In Weekend 2 Domestic, -67%, As HBO Max Glitches Continue",-0.2023,-1.0
"Up next, recap & links",0.0,0.0
Trump begs Georgia officials to find votes in leaked phone call,-0.3182,-1.0
Ahmaud Arbery’s killers ask that he not be called a ‘victim’,-0.6486,-1.0
"Discovery Plus is Already Available to Download on Apple TV, Amazon Fire TV, Android TV, Chromecast, & Mobile - The Streamable",-0.1779,-1.0
Panthers vs. Saints: How to watch or stream Week 17 matchup,0.0,0.0
How To Watch ‘The Bee Gees: How Can You Mend A Broken Heart’ Documentary On HBO Max,-0.4767,-1.0
Businesses owned by minorities saw PPP loan disbursement delays,0.0,0.0
Ahmaud Arbery’s killers ask that he not be called a ‘victim’,-0.6486,-1.0
How to connect your laptop to a monitor,0.0,0.0
Nicki Minaj unveils first photos of newborn son,0.0,0.0
